date,article,msft
2015-10-29,http://www.ibtimes.com/press-release/20151029/global-predictive-analytics-market-research-report-2015-2019-market-grow-cagr,msft,
2015-10-29,http://www.ibtimes.com/how-live-stream-video-games-twitch-youtube-gaming-any-budget-2160659,msft,
2015-10-29,http://www.ibtimes.com/ps4-vs-xbox-one-sony-posts-4-million-playstation-4-units-sold-q2-293-million-total-2161708,msft,
2015-10-29,http://www.ibtimes.com/press-release/20151029/gravity-softwaretm-conjunction-microsoft-dynamics-crm-online-offers-special,msft,
2015-10-29,http://www.ibtimes.com/gigantic-samsung-galaxy-view-tablet-official-now-whopping-184-display-lte-support-2161460,msft,
2015-10-28,http://www.ibtimes.com/gop-debate-2015-marco-rubio-defends-h1b-visas-amid-criticism-questions-microsoft-2160512,msft,
2015-10-28,http://www.ibtimes.com/press-release/20151028/cyber-security-market-solution-global-forecast-2020-reportlinker-review,msft,
2015-10-28,http://www.ibtimes.com/press-release/20151028/hornbeck-offshore-announces-third-quarter-2015-results-2160803,msft,
2015-10-28,http://www.ibtimes.com/nintendo-reveal-first-smartphone-game-will-it-be-1up-2160522,msft,
2015-10-28,http://www.ibtimes.com/world-series-live-streaming-after-fox-outage-should-network-be-worrying-about-move-2160538,msft,
2015-10-28,http://www.ibtimes.com/microsofts-fifth-avenue-store-crucial-success-surface-pro-4-surface-book-2160106,msft,
2015-10-28,http://www.ibtimes.com/surface-pro-4-teardown-reveals-its-almost-impossible-repair-key-parts-2160051,msft,
2015-10-28,http://www.ibtimes.com/press-release/20151028/onset-intelligent-oil-gas-field-global-big-data-oil-gas-exploration,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/aol-ebay-clorox-company-fannie-mae-cox-enterprises-named-2015-technology,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/verizon-doubles-size-secure-cloud-interconnect-footprint-asia-pacific-2159597,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/maggie-wilderotter-joins-dreamworks-animations-board-directors-2159050,msft,
2015-10-27,http://www.ibtimes.com/halo-5-problems-are-minor-best-much-delight-gamers-2158637,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/thyssenkrupp-launches-max-maximizing-urban-efficiency-leading-microsoft-azure,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/minecraft-story-mode-telltale-games-series-now-available-stores-2158159,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/webroot-laplink-make-cybersecurity-file-transfer-easy-2157980,msft,
2015-10-27,http://www.ibtimes.com/press-release/20151027/templafy-attracts-more-capital-tech-giants-2158007,msft,
2015-10-27,http://www.ibtimes.com/microsoft-surface-smartphone-works-evidence-found-2157788,msft,
2015-10-27,http://www.ibtimes.com/alibaba-set-lead-1b-funding-round-google-backed-magic-leap-augmented-reality-startup-2157746,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/global-mobile-yellow-pages-industry-2157577,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/augmented-reality-paradigm-shift-begins-reportlinker-review-2157359,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/global-data-center-power-market-2015-2019-reportlinker-review-2157368,msft,
2015-10-26,http://www.ibtimes.com/amid-weak-global-outlook-many-us-companies-tighten-belts-2157250,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/global-e-learning-it-infrastructure-spending-2015-2019-reportlinker-review,msft,
2015-10-26,http://www.ibtimes.com/surface-pro-4-surface-book-launch-can-microsofts-new-hybrids-get-mac-users-try-2156812,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/episerver-debuts-evaluation-digital-experience-platforms-global-independent,msft,
2015-10-26,http://www.ibtimes.com/surface-pro-4-microsoft-closes-apples-consumer-satisfaction-lead-2156469,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/digitaslbi-nytwsj-best-selling-author-jonah-berger-unveil-new-metric-measure,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/chinasoft-brings-huawei-shareholder-through-share-exchange-continues-build,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/onix-expands-upon-googles-offer-free-apps-mid-market-companies-2156362,msft,
2015-10-26,http://www.ibtimes.com/halo-5-guardians-review-roundup-xbox-ones-big-game-mostly-lives-hype-2156172,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/covered-call-alerts-gopro-google-microsoft-anacor-pharmaceuticals-dow,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/nc4-launches-microsoft-windows-10-universal-application-nc4-street-smarttm,msft,
2015-10-26,http://www.ibtimes.com/earnings-preview-apple-inc-aapl-linkedin-corp-lnkd-ford-motor-company-f-starbucks-2156127,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/mit-technology-review-announces-final-speaker-lineup-agenda-15th-annual,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/attunity-expands-its-award-winning-big-data-management-platform-support,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/valeant-pharmaceuticals-announces-addition-g-mason-morfit-its-board-directors,msft,
2015-10-26,http://www.ibtimes.com/halo-5-guardians-dev-clarifies-plan-pc-halo-5-live-launch-teased-again-2155581,msft,
2015-10-26,http://www.ibtimes.com/microsoft-lumia-950-950-xl-prices-slashed-pre-orders-2155430,msft,
2015-10-26,http://www.ibtimes.com/press-release/20151026/microsoft-debuts-its-first-flagship-store-new-york-citys-iconic-fifth-avenue,msft,
2015-10-23,http://www.ibtimes.com/apple-earnings-could-help-nasdaq-100-set-record-2154971,msft,
2015-10-23,http://www.ibtimes.com/bing-profitable-it-wont-be-long-if-microsoft-doesnt-figure-out-mobile-2154361,msft,
2015-10-23,http://www.ibtimes.com/weeks-rumor-round-apple-ipad-pro-iphone-7-microsoft-lumia-950-samsung-galaxy-s7-2153550,msft,
2015-10-23,http://www.ibtimes.com/microsoft-making-more-money-sales-feature-phones-smartphones-2154087,msft,
2015-10-23,http://www.ibtimes.com/xbox-one-looks-xbox-live-halo-5-guardians-great-holiday-despite-xbox-sales-going-down-2153395,msft,
2015-10-23,http://www.ibtimes.com/microsoft-lumia-950-xl-battery-test-rapid-charging-results-almost-similar-galaxy-note-2153590,msft,
2015-10-23,http://www.ibtimes.com/dow-jones-industrial-average-leaps-tech-stocks-rally-china-announces-surprise-rate-2153973,msft,
