date,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors,price_change
2015-10-30,11,6,1,326,0,1,-0.008545582
2015-10-25,64,24,1,773,0,0,-0.031911345
2015-10-20,48,30,3,741,2,1,0.018258247
2015-10-20,37,5,1,439,1,1,0.018258247
2015-11-11,0,0,0,3,0,0,-0.005652103
2015-11-12,70,24,17,814,14,2,-0.003358884
2015-10-30,93,26,6,1344,7,0,-0.008545582
2015-11-10,30,6,8,359,5,2,-0.031516986
2015-11-13,16,35,1,608,0,1,-0.029208477
2015-10-22,105,20,1,1363,1,0,0.015295341
2015-10-19,243,53,1,3328,0,0,0.006213995
2015-10-28,35,20,1,497,1,1,0.041204661
2015-10-19,51,2,2,447,5,0,0.006213995
2015-10-26,43,13,7,629,7,0,-0.031911345
2015-10-29,49,1,17,509,10,1,0.010564283
2015-11-06,48,7,1,579,1,0,0.00115779
2015-11-09,20,18,5,322,2,2,-0.004047563
2015-10-27,5,0,3,121,0,0,-0.006332373
